month,metric_type,hours
2019-05-01,billable_hours,0.0
2019-06-01,billable_hours,0.0
2019-07-01,billable_hours,0.0
2019-08-01,billable_hours,0.0
2019-09-01,billable_hours,0.0
2019-10-01,billable_hours,0.0
2019-11-01,billable_hours,0.0
2019-12-01,billable_hours,0.0
2020-01-01,billable_hours,0.0
2020-02-01,billable_hours,0.0
2020-03-01,billable_hours,0.0
2020-04-01,billable_hours,0.0
2020-05-01,billable_hours,0.0
2020-06-01,billable_hours,0.0
2020-07-01,billable_hours,0.0
2020-08-01,billable_hours,248.0
2020-09-01,billable_hours,352.0
2020-10-01,billable_hours,552.0
2020-11-01,billable_hours,656.0
2020-12-01,billable_hours,538.0
2021-01-01,billable_hours,484.0
2021-02-01,billable_hours,533.0
2021-03-01,billable_hours,624.0
2021-04-01,billable_hours,424.0
2021-05-01,billable_hours,442.0
2021-06-01,billable_hours,487.0
2021-07-01,billable_hours,143.0
2021-08-01,billable_hours,250.0
2021-09-01,billable_hours,602.0
2021-10-01,billable_hours,616.0
2021-11-01,billable_hours,536.0
2021-12-01,billable_hours,501.0
2022-01-01,billable_hours,491.01666666666665
2022-02-01,billable_hours,564.0
2022-03-01,billable_hours,602.55
2022-04-01,billable_hours,568.4
2022-05-01,billable_hours,577.0
2022-06-01,billable_hours,409.0
2022-07-01,billable_hours,181.6
2022-08-01,billable_hours,469.0
2022-09-01,billable_hours,654.0
2022-10-01,billable_hours,584.0
2022-11-01,billable_hours,585.0
2022-12-01,billable_hours,474.0
2023-01-01,billable_hours,566.0
2023-02-01,billable_hours,615.0
2023-03-01,billable_hours,810.5
2023-04-01,billable_hours,576.75
2023-05-01,billable_hours,734.0
2023-06-01,billable_hours,584.75
2023-07-01,billable_hours,280.5
2023-08-01,billable_hours,432.0
2023-09-01,billable_hours,733.25
2023-10-01,billable_hours,962.5
2023-11-01,billable_hours,939.0
2023-12-01,billable_hours,691.0
2024-01-01,billable_hours,648.0
2024-02-01,billable_hours,845.0
2024-03-01,billable_hours,899.0
2024-04-01,billable_hours,626.0
2024-05-01,billable_hours,629.0
2024-06-01,billable_hours,560.0
2024-07-01,billable_hours,390.0
2024-08-01,billable_hours,577.0
2024-09-01,billable_hours,1085.0
2024-10-01,billable_hours,1535.0
2024-11-01,billable_hours,1314.0
2024-12-01,billable_hours,965.0
2025-01-01,billable_hours,1323.0
2025-02-01,billable_hours,1252.0
2025-03-01,billable_hours,1318.0
2025-04-01,billable_hours,1399.5
2025-05-01,billable_hours,40.0
2025-06-01,billable_hours,0.0
2025-07-01,billable_hours,0.0
2025-08-01,billable_hours,0.0
2025-09-01,billable_hours,0.0
2025-10-01,billable_hours,0.0
2025-11-01,billable_hours,0.0
2025-12-01,billable_hours,0.0
2026-01-01,billable_hours,0.0
2026-02-01,billable_hours,0.0
2026-03-01,billable_hours,0.0
2026-04-01,billable_hours,0.0
2026-05-01,billable_hours,0.0
2026-06-01,billable_hours,0.0
2019-05-01,non_billable_work_hours,0.0
2019-06-01,non_billable_work_hours,0.0
2019-07-01,non_billable_work_hours,0.0
2019-08-01,non_billable_work_hours,0.0
2019-09-01,non_billable_work_hours,0.0
2019-10-01,non_billable_work_hours,0.0
2019-11-01,non_billable_work_hours,0.0
2019-12-01,non_billable_work_hours,0.0
2020-01-01,non_billable_work_hours,0.0
2020-02-01,non_billable_work_hours,0.0
2020-03-01,non_billable_work_hours,0.0
2020-04-01,non_billable_work_hours,0.0
2020-05-01,non_billable_work_hours,0.0
2020-06-01,non_billable_work_hours,0.0
2020-07-01,non_billable_work_hours,0.0
2020-08-01,non_billable_work_hours,88.0
2020-09-01,non_billable_work_hours,0.0
2020-10-01,non_billable_work_hours,8.0
2020-11-01,non_billable_work_hours,16.0
2020-12-01,non_billable_work_hours,100.0
2021-01-01,non_billable_work_hours,144.0
2021-02-01,non_billable_work_hours,110.0
2021-03-01,non_billable_work_hours,112.0
2021-04-01,non_billable_work_hours,232.0
2021-05-01,non_billable_work_hours,212.0
2021-06-01,non_billable_work_hours,188.0
2021-07-01,non_billable_work_hours,565.0
2021-08-01,non_billable_work_hours,461.0
2021-09-01,non_billable_work_hours,129.0
2021-10-01,non_billable_work_hours,50.0
2021-11-01,non_billable_work_hours,194.0
2021-12-01,non_billable_work_hours,413.0
2022-01-01,non_billable_work_hours,337.98333333333335
2022-02-01,non_billable_work_hours,273.0
2022-03-01,non_billable_work_hours,354.5
2022-04-01,non_billable_work_hours,213.6
2022-05-01,non_billable_work_hours,279.0
2022-06-01,non_billable_work_hours,430.6
2022-07-01,non_billable_work_hours,658.4
2022-08-01,non_billable_work_hours,448.0
2022-09-01,non_billable_work_hours,228.0
2022-10-01,non_billable_work_hours,256.0
2022-11-01,non_billable_work_hours,295.0
2022-12-01,non_billable_work_hours,542.0
2023-01-01,non_billable_work_hours,450.0
2023-02-01,non_billable_work_hours,350.0
2023-03-01,non_billable_work_hours,417.0
2023-04-01,non_billable_work_hours,447.25
2023-05-01,non_billable_work_hours,438.0
2023-06-01,non_billable_work_hours,544.25
2023-07-01,non_billable_work_hours,892.5
2023-08-01,non_billable_work_hours,913.5
2023-09-01,non_billable_work_hours,770.75
2023-10-01,non_billable_work_hours,445.5
2023-11-01,non_billable_work_hours,469.0
2023-12-01,non_billable_work_hours,823.0
2024-01-01,non_billable_work_hours,1112.0
2024-02-01,non_billable_work_hours,838.0
2024-03-01,non_billable_work_hours,733.0
2024-04-01,non_billable_work_hours,1078.0
2024-05-01,non_billable_work_hours,1084.0
2024-06-01,non_billable_work_hours,883.0
2024-07-01,non_billable_work_hours,1450.0
2024-08-01,non_billable_work_hours,1261.0
2024-09-01,non_billable_work_hours,759.0
2024-10-01,non_billable_work_hours,496.0
2024-11-01,non_billable_work_hours,541.0
2024-12-01,non_billable_work_hours,622.0
2025-01-01,non_billable_work_hours,543.0
2025-02-01,non_billable_work_hours,526.0
2025-03-01,non_billable_work_hours,538.0
2025-04-01,non_billable_work_hours,362.5
2025-05-01,non_billable_work_hours,160.0
2025-06-01,non_billable_work_hours,160.0
2025-07-01,non_billable_work_hours,184.0
2025-08-01,non_billable_work_hours,168.0
2025-09-01,non_billable_work_hours,176.0
2025-10-01,non_billable_work_hours,184.0
2025-11-01,non_billable_work_hours,160.0
2025-12-01,non_billable_work_hours,0.0
2026-01-01,non_billable_work_hours,0.0
2026-02-01,non_billable_work_hours,0.0
2026-03-01,non_billable_work_hours,0.0
2026-04-01,non_billable_work_hours,0.0
2026-05-01,non_billable_work_hours,0.0
2026-06-01,non_billable_work_hours,0.0
