month,metric_type,hours
2019-05-01,potential_hours,176.0
2019-06-01,potential_hours,160.0
2019-07-01,potential_hours,176.0
2019-08-01,potential_hours,176.0
2019-09-01,potential_hours,160.0
2019-10-01,potential_hours,176.0
2019-11-01,potential_hours,168.0
2019-12-01,potential_hours,336.0
2020-01-01,potential_hours,352.0
2020-02-01,potential_hours,320.0
2020-03-01,potential_hours,336.0
2020-04-01,potential_hours,336.0
2020-05-01,potential_hours,336.0
2020-06-01,potential_hours,336.0
2020-07-01,potential_hours,352.0
2020-08-01,potential_hours,320.0
2020-09-01,potential_hours,336.0
2020-10-01,potential_hours,704.0
2020-11-01,potential_hours,640.0
2020-12-01,potential_hours,704.0
2021-01-01,potential_hours,672.0
2021-02-01,potential_hours,640.0
2021-03-01,potential_hours,704.0
2021-04-01,potential_hours,672.0
2021-05-01,potential_hours,640.0
2021-06-01,potential_hours,672.0
2021-07-01,potential_hours,704.0
2021-08-01,potential_hours,672.0
2021-09-01,potential_hours,672.0
2021-10-01,potential_hours,672.0
2021-11-01,potential_hours,672.0
2021-12-01,potential_hours,880.0
2022-01-01,potential_hours,800.0
2022-02-01,potential_hours,760.0
2022-03-01,potential_hours,880.0
2022-04-01,potential_hours,840.0
2022-05-01,potential_hours,840.0
2022-06-01,potential_hours,840.0
2022-07-01,potential_hours,840.0
2022-08-01,potential_hours,880.0
2022-09-01,potential_hours,840.0
2022-10-01,potential_hours,800.0
2022-11-01,potential_hours,840.0
2022-12-01,potential_hours,1056.0
2023-01-01,potential_hours,1008.0
2023-02-01,potential_hours,912.0
2023-03-01,potential_hours,1056.0
2023-04-01,potential_hours,1120.0
2023-05-01,potential_hours,1232.0
2023-06-01,potential_hours,1176.0
2023-07-01,potential_hours,1120.0
2023-08-01,potential_hours,1232.0
2023-09-01,potential_hours,1344.0
2023-10-01,potential_hours,1512.0
2023-11-01,potential_hours,1512.0
2023-12-01,potential_hours,1680.0
2024-01-01,potential_hours,1760.0
2024-02-01,potential_hours,1600.0
2024-03-01,potential_hours,1680.0
2024-04-01,potential_hours,1680.0
2024-05-01,potential_hours,1760.0
2024-06-01,potential_hours,1600.0
2024-07-01,potential_hours,1760.0
2024-08-01,potential_hours,1760.0
2024-09-01,potential_hours,1760.0
2024-10-01,potential_hours,1936.0
2024-11-01,potential_hours,1848.0
2024-12-01,potential_hours,1848.0
2025-01-01,potential_hours,1936.0
2025-02-01,potential_hours,1672.0
2025-03-01,potential_hours,1760.0
2025-04-01,potential_hours,1848.0
2025-05-01,potential_hours,1936.0
2025-06-01,potential_hours,1760.0
2025-07-01,potential_hours,1936.0
2025-08-01,potential_hours,1848.0
2025-09-01,potential_hours,2184.0
2025-10-01,potential_hours,2288.0
2025-11-01,potential_hours,2080.0
2025-12-01,potential_hours,2288.0
2026-01-01,potential_hours,2288.0
2026-02-01,potential_hours,2080.0
2026-03-01,potential_hours,2184.0
2026-04-01,potential_hours,2184.0
2026-05-01,potential_hours,2184.0
2026-06-01,potential_hours,2184.0
2019-05-01,defined_role_hours,0.0
2019-06-01,defined_role_hours,0.0
2019-07-01,defined_role_hours,0.0
2019-08-01,defined_role_hours,0.0
2019-09-01,defined_role_hours,0.0
2019-10-01,defined_role_hours,0.0
2019-11-01,defined_role_hours,0.0
2019-12-01,defined_role_hours,0.0
2020-01-01,defined_role_hours,0.0
2020-02-01,defined_role_hours,0.0
2020-03-01,defined_role_hours,0.0
2020-04-01,defined_role_hours,0.0
2020-05-01,defined_role_hours,0.0
2020-06-01,defined_role_hours,0.0
2020-07-01,defined_role_hours,0.0
2020-08-01,defined_role_hours,0.0
2020-09-01,defined_role_hours,0.0
2020-10-01,defined_role_hours,165.33333333333334
2020-11-01,defined_role_hours,165.33333333333334
2020-12-01,defined_role_hours,165.33333333333334
2021-01-01,defined_role_hours,165.33333333333334
2021-02-01,defined_role_hours,165.33333333333334
2021-03-01,defined_role_hours,165.33333333333334
2021-04-01,defined_role_hours,165.33333333333334
2021-05-01,defined_role_hours,165.33333333333334
2021-06-01,defined_role_hours,324.44444444444446
2021-07-01,defined_role_hours,159.11111111111111
2021-08-01,defined_role_hours,506.31111111111113
2021-09-01,defined_role_hours,678.7555555555556
2021-10-01,defined_role_hours,1020.0888888888888
2021-11-01,defined_role_hours,1160.088888888889
2021-12-01,defined_role_hours,1405.231746031746
2022-01-01,defined_role_hours,1577.6761904761904
2022-02-01,defined_role_hours,1643.6761904761904
2022-03-01,defined_role_hours,1516.5650793650793
2022-04-01,defined_role_hours,1684.184126984127
2022-05-01,defined_role_hours,1844.184126984127
2022-06-01,defined_role_hours,2155.3396825396826
2022-07-01,defined_role_hours,1646.1968253968253
2022-08-01,defined_role_hours,1750.1968253968253
2022-09-01,defined_role_hours,2211.0857142857144
2022-10-01,defined_role_hours,2657.3079365079366
2022-11-01,defined_role_hours,1927.7079365079364
2022-12-01,defined_role_hours,2082.7079365079367
2023-01-01,defined_role_hours,2136.0412698412697
2023-02-01,defined_role_hours,2089.64126984127
2023-03-01,defined_role_hours,2547.222222222222
2023-04-01,defined_role_hours,2064.4666666666667
2023-05-01,defined_role_hours,1896.4666666666667
2023-06-01,defined_role_hours,1853.2920634920636
2023-07-01,defined_role_hours,1502.136507936508
2023-08-01,defined_role_hours,1315.136507936508
2023-09-01,defined_role_hours,1636.136507936508
2023-10-01,defined_role_hours,1779.7555555555557
2023-11-01,defined_role_hours,2079.7555555555555
2023-12-01,defined_role_hours,1632.088888888889
2024-01-01,defined_role_hours,1339.8444444444444
2024-02-01,defined_role_hours,1454.5111111111112
2024-03-01,defined_role_hours,1455.5111111111112
2024-04-01,defined_role_hours,1639.5111111111112
2024-05-01,defined_role_hours,1467.8444444444444
2024-06-01,defined_role_hours,1827.1076023391813
