quarter_x,total_hours_in_quarter,completion_quarter,projects_completed,completion_quarter_str,avg_effort_per_project,quarter_y,headcount
2021Q1,2007.0,2021Q1,1,2021Q1,2007.0,2021Q1,4
2021Q2,1985.0,2021Q2,2,2021Q2,992.5,2021Q2,4
2021Q4,2310.0,2021Q4,2,2021Q4,1155.0,2021Q4,5
2022Q1,2623.05,2022Q1,3,2022Q1,874.35,2022Q1,5
2022Q2,2477.6,2022Q2,1,2022Q2,2477.6,2022Q2,5
2022Q3,2639.0,2022Q3,3,2022Q3,879.6666666666666,2022Q3,5
2022Q4,2736.0,2022Q4,2,2022Q4,1368.0,2022Q4,6
2023Q1,3208.5,2023Q1,8,2023Q1,401.0625,2023Q1,7
2023Q2,3325.0,2023Q2,3,2023Q2,1108.3333333333333,2023Q2,7
2023Q3,4022.5,2023Q3,3,2023Q3,1340.8333333333333,2023Q3,9
2023Q4,4330.0,2023Q4,5,2023Q4,866.0,2023Q4,10
2024Q1,5075.0,2024Q1,3,2024Q1,1691.6666666666667,2024Q1,10
2024Q2,4860.0,2024Q2,6,2024Q2,810.0,2024Q2,10
2024Q3,5522.0,2024Q3,2,2024Q3,2761.0,2024Q3,11
2024Q4,5473.0,2024Q4,2,2024Q4,2736.5,2024Q4,11
2025Q1,5500.0,2025Q1,6,2025Q1,916.6666666666666,2025Q1,11
2025Q2,2122.0,2025Q2,12,2025Q2,176.83333333333334,2025Q2,11
2025Q4,344.0,2025Q4,1,2025Q4,344.0,2025Q4,13
