role_id,industry_name,role_category_name,hourly_rate,billing_type,seniority,startdate,name_anon
68fb318f-438b-4257-95f2-3893564ebd01,,,,,K2,2023-10-01,
b5a1a16b-99d7-4895-b927-0d0afa074c35,,,,,,,
264b42da-30b3-8026-b4e1-f6a7c2832cc2,,Data Analyst,900.0,Direct,,2025-09-04,Terry and Sons
0517e8f8-b88c-41fa-ae1a-57458f4571d0,,Data Engineer,1100.0,Invoicing(Right people Group),,2022-12-05,Payne-Nelson
347c5d6b-8487-437c-8945-612a32c0b866,,,1100.0,,,2022-09-11,Payne-Nelson
db6a818f-f08d-489d-a6aa-873e24546ba1,,Business Developer,1025.0,Billing to Emagine,K3,2024-10-14,"Harris, Watson and Donaldson"
d822c29f-05d5-4478-82fe-d297274f2315,,Data Scientist,850.0,,K2,2024-06-17,"Lee, Freeman and Jones"
9a5ec501-c6bb-4f18-bbd2-718878016ce8,,,,,K2,,"Hopkins, Wagner and Ho"
b2668775-1fab-48dd-bcdf-5a699bd022d6,,,,,,,"Hopkins, Wagner and Ho"
a08f3ed5-f52a-402a-985d-d2ba87103f11,,,,,,,"Hopkins, Wagner and Ho"
185b42da-30b3-80a5-80e2-c0c94e9cf650,,Business Developer,1500.0,TekSystems,K3,2025-01-23,"Rivera, Davis and Roberts"
83a0d1b8-45bd-4c77-a569-91534f76ba5e,,Analytics Engineer,,,,,Pineda-Carter
10cb42da-30b3-8004-8e0e-d34a949f1934,,,1240.0,Self-billing,K4,2024-09-16,"Stokes, Harrison and Goodman"
270f4331-f24e-4a60-bb19-0d336f38cc2f,,Business Developer,900.0,Direct billing,K2,2024-06-24,"Robinson, Kaufman and Mills"
158e5abd-fc12-445d-890c-64d995ce51be,Automotive,Data Engineer,1000.0,Invoicing(Evolution),,2023-01-10,Dudley and Sons
185b42da-30b3-801f-b838-e6cb1a78d1e8,Construction and Real Estate,Business Developer,,,K2,2025-02-05,Ward and Sons
185b42da-30b3-80c5-b9c3-ca3ea65ff40b,Construction and Real Estate,Business Developer,,Direct,K3,2025-02-05,Ward and Sons
264b42da-30b3-80cd-8d2f-fefa6ea8c326,Construction and Real Estate,Analytics Engineer,1400.0,DIrect,K3,2025-08-27,"Smith, Guerrero and Howell"
249b42da-30b3-8060-bf1c-fb4307407b2f,Construction and Real Estate,Analytics Engineer,1400.0,DIrect,,2025-06-08,"Smith, Guerrero and Howell"
12db42da-30b3-8046-bb1e-c9d95c90336d,Construction and Real Estate,Data Scientist,1500.0,Direct billing,,2024-10-28,"Ramirez, Rodriguez and Gonzalez"
12db42da-30b3-803f-959f-d8b5ac9aa746,Construction and Real Estate,,1500.0,Direct billing,,2024-10-13,"Ramirez, Rodriguez and Gonzalez"
12db42da-30b3-8005-869c-d26b239a9e33,Construction and Real Estate,Data Engineer,1500.0,Direct billing,,2024-10-24,"Ramirez, Rodriguez and Gonzalez"
1ceb42da-30b3-8046-a1e3-c5c96db61c4b,Energy and Utilities,Data Engineer,1150.0,Direct,K2,2025-03-25,Joseph and Sons
91a014ae-544b-4e2d-a35b-1bc5363ddc98,Energy and Utilities,,950.0,Billing to Altero,K2,2024-03-04,Joseph and Sons
282f97e9-92dc-4e75-8370-ea32e16e5eaf,Energy and Utilities,Data Engineer,1000.0,Billing to Altero,K1,2024-06-16,Joseph and Sons
1deb42da-30b3-8067-8f3e-c76fae638308,Energy and Utilities,,1150.0,,K2,2025-04-08,Joseph and Sons
1fa8f8c9-8c99-43bb-ab02-122fbda89f2c,Energy and Utilities,Business Developer,1300.0,,K3,2022-06-01,"Gamble, Summers and Bailey"
857e3709-f044-498d-914c-eef659e989a9,Energy and Utilities,,1250.0,,,2022-08-21,"Gamble, Summers and Bailey"
f97beed2-edbe-43b9-8aea-d5c8f42090b3,Energy and Utilities,Business Developer,1300.0,,K3,2021-09-01,"Gamble, Summers and Bailey"
